num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
1,conv1,ConvNd,"conv1.Variable, conv1.Parameter",1,3,224,224,64,112,112,1,1,7,7,1,2,2,1,1,1,1,3,3,0,1,1,1,1,0,-0.616001844,1.041479707,-0.022383659,0.279692103,-0.099457629,0.097877376,-0.000157585,0.025408819,0,0,0,0,0,0,50176,147,64,4,602112,3211264,9408,0,9408,472055808,3.51%,3822784,123.4848236,196,3288334336,14.36%,256,256,256,50176,14.36%,0.00%,196,0,0,196,1,1888223232,25.00%,147,256,0,50176,14.36%,7203,0,0,0,0,0,0
5,block1.layer.0.conv1,ConvNd,"block1.layer.0.relu.Threshold, block1.layer.0.conv1.Parameter",1,64,56,56,128,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.22024727,0.196374766,0.866728353,-12.76863003,14.13181496,0.025496514,0.918183351,-0.488135666,0.53968662,0.001281965,0.12626204,0,0,0,0,0,0,12544,64,128,4,802816,1605632,8192,0,8192,102760448,0.77%,2416640,42.5220339,49,822083584,12.50%,256,256,256,12544,12.50%,0.00%,49,0,0,49,1,205520896,50.00%,64,256,0,12544,12.50%,1568,0,0,0,0,0,0
8,block1.layer.0.conv2,ConvNd,"block1.layer.0.relu.Threshold, block1.layer.0.conv2.Parameter",1,128,56,56,32,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,16.868927,0.214611385,0.720647828,-22.05551529,16.70046234,0.133467701,1.679383883,-0.325044781,0.319922864,0.000504813,0.082989956,0,0,0,0,0,0,12544,1152,32,4,1605632,401408,36864,0,36864,462422016,3.44%,2043904,226.244489,245,4110417920,11.25%,256,256,256,62720,11.25%,-1.25%,49,0,0,49,1,3699376128,12.50%,1152,256,0,56448,12.50%,7056,0,0,0,0,0,0
12,block1.layer.1.conv1,ConvNd,"block1.layer.1.relu.Threshold, block1.layer.1.conv1.Parameter",1,96,56,56,128,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.22024727,0.210351133,0.81704941,-13.91468048,15.12884998,-0.001184272,0.95178249,-0.512797117,0.481116563,-3.39876E-05,0.124829839,0,0,0,0,0,0,12544,96,128,4,1204224,1605632,12288,0,12288,154140672,1.15%,2822144,54.61828737,49,822083584,18.75%,256,256,256,12544,18.75%,0.00%,49,0,0,49,1,308281344,50.00%,96,256,0,12544,18.75%,2352,0,0,0,0,0,0
15,block1.layer.1.conv2,ConvNd,"block1.layer.1.relu.Threshold, block1.layer.1.conv2.Parameter",1,128,56,56,32,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,12.65068245,0.22604443,0.672963127,-18.88275528,18.98928452,-0.102857262,1.840629326,-0.350238919,0.345770627,-0.000412223,0.083162087,0,0,0,0,0,0,12544,1152,32,4,1605632,401408,36864,0,36864,462422016,3.44%,2043904,226.244489,245,4110417920,11.25%,256,256,256,62720,11.25%,-1.25%,49,0,0,49,1,3699376128,12.50%,1152,256,0,56448,12.50%,7056,0,0,0,0,0,0
19,block1.layer.2.conv1,ConvNd,"block1.layer.2.relu.Threshold, block1.layer.2.conv1.Parameter",1,128,56,56,128,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.22024727,0.219586526,0.786193476,-15.52171326,16.55272293,0.001450386,1.170258982,-0.510010302,0.477107883,0.000204696,0.125198212,0,0,0,0,0,0,12544,128,128,4,1605632,1605632,16384,0,16384,205520896,1.53%,3227648,63.6751269,49,822083584,25.00%,256,256,256,12544,25.00%,0.00%,49,0,0,49,1,411041792,50.00%,128,256,0,12544,25.00%,3136,0,0,0,0,0,0
22,block1.layer.2.conv2,ConvNd,"block1.layer.2.relu.Threshold, block1.layer.2.conv2.Parameter",1,128,56,56,32,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,11.30541611,0.242473806,0.680327928,-20.9969883,19.97415733,-0.099374085,1.832090005,-0.366603851,0.355704308,-0.000382862,0.083885738,0,0,0,0,0,0,12544,1152,32,4,1605632,401408,36864,0,36864,462422016,3.44%,2043904,226.244489,245,4110417920,11.25%,256,256,256,62720,11.25%,-1.25%,49,0,0,49,1,3699376128,12.50%,1152,256,0,56448,12.50%,7056,0,0,0,0,0,0
26,block1.layer.3.conv1,ConvNd,"block1.layer.3.relu.Threshold, block1.layer.3.conv1.Parameter",1,160,56,56,128,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.22024727,0.227789786,0.760188516,-18.28360558,19.35401726,-0.058689958,1.228122789,-0.517254531,0.48956278,-0.001105797,0.125353788,0,0,0,0,0,0,12544,160,128,4,2007040,1605632,20480,0,20480,256901120,1.91%,3633152,70.7102593,49,822083584,31.25%,256,256,256,12544,31.25%,0.00%,49,0,0,49,1,513802240,50.00%,160,256,0,12544,31.25%,3920,0,0,0,0,0,0
29,block1.layer.3.conv2,ConvNd,"block1.layer.3.relu.Threshold, block1.layer.3.conv2.Parameter",1,128,56,56,32,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,15.2271719,0.244134727,0.658783222,-17.80275536,20.56765556,-0.03693548,1.753152049,-0.347788543,0.365439087,-0.000261562,0.083268662,0,0,0,0,0,0,12544,1152,32,4,1605632,401408,36864,0,36864,462422016,3.44%,2043904,226.244489,245,4110417920,11.25%,256,256,256,62720,11.25%,-1.25%,49,0,0,49,1,3699376128,12.50%,1152,256,0,56448,12.50%,7056,0,0,0,0,0,0
33,block1.layer.4.conv1,ConvNd,"block1.layer.4.relu.Threshold, block1.layer.4.conv1.Parameter",1,192,56,56,128,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.22024727,0.235408952,0.7466207,-16.88753891,19.15483093,0.072595642,1.374889839,-0.494003952,0.50721097,0.001462916,0.124787507,0,0,0,0,0,0,12544,192,128,4,2408448,1605632,24576,0,24576,308281344,2.30%,4038656,76.3326572,49,822083584,37.50%,256,256,256,12544,37.50%,0.00%,49,0,0,49,1,616562688,50.00%,192,256,0,12544,37.50%,4704,0,0,0,0,0,0
