num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
1,Conv2d_1a_3x3.conv,ConvNd,"Conv2d_1a_3x3.conv.Variable, Conv2d_1a_3x3.conv.Parameter",1,3,299,299,32,149,149,1,1,3,3,1,2,2,1,1,1,1,0,0,0,1,1,1,1,0,-1.085264683,0.89562577,0.041219854,0.501505137,-0.193923503,0.199089423,0.001526661,0.087187881,0,0,0,0,0,0,88804,27,32,4,1072812,2841728,864,0,864,76726656,0.34%,3915404,19.59610196,347,5821693952,1.32%,256,256,256,88832,1.32%,0.00%,346,1,228,347,1,614006784,12.50%,27,256,228,88804,1.32%,1170.755859,0,0,0,0,0,0
4,Conv2d_2a_3x3.conv,ConvNd,"Conv2d_1a_3x3.Threshold, Conv2d_2a_3x3.conv.Parameter",1,32,149,149,32,147,147,1,1,3,3,1,1,1,1,1,1,1,0,0,0,1,0,2.35608E-07,7.36275E-09,4.09941E-08,-1.09175E-07,1.21982E-07,1.86026E-09,5.49669E-08,-0.199426472,0.199834362,-0.00169112,0.088475156,0,0,0,0,0,0,86436,288,32,4,2841728,2765952,9216,0,9216,796594176,3.49%,5616896,141.8210656,676,11341398016,7.02%,256,256,256,173056,7.02%,-5.46%,337,1,164,338,1,6379536384,12.49%,288,256,164,97344,12.49%,12155.0625,0,0,0,0,0,0
7,Conv2d_2b_3x3.conv,ConvNd,"Conv2d_2a_3x3.Threshold, Conv2d_2b_3x3.conv.Parameter",1,32,147,147,64,147,147,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,4.49387E-13,2.4589E-14,6.11365E-14,-4.1832E-13,2.66713E-13,-3.73863E-15,9.80856E-14,-0.199866489,0.199831322,0.001585833,0.088333516,0,0,0,0,0,0,86436,288,64,4,2765952,5531904,18432,0,18432,1593188352,6.97%,8316288,191.5744563,676,11341398016,14.05%,256,256,256,173056,14.05%,-10.93%,337,1,164,338,1,6379536384,24.97%,288,256,164,97344,24.97%,24310.125,0,0,0,0,0,0
11,Conv2d_3b_1x1.conv,ConvNd,"Conv2d_3b_1x1.conv.MaxPool2d, Conv2d_3b_1x1.conv.Parameter",1,64,73,73,80,73,73,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,8.7968E-12,5.44255E-14,3.13805E-13,-7.26004E-12,6.72908E-12,-5.9883E-15,2.43852E-13,-0.199036822,0.19994773,-0.000969811,0.089775371,0,0,0,0,0,0,21316,64,80,4,1364224,1705280,5120,0,5120,109137920,0.48%,3074624,35.49634687,84,1409286144,7.74%,256,256,256,21504,7.74%,-0.07%,83,1,68,84,1,352321536,30.98%,64,256,68,21316,7.81%,1665.3125,0,0,0,0,0,0
14,Conv2d_4a_3x3.conv,ConvNd,"Conv2d_3b_1x1.Threshold, Conv2d_4a_3x3.conv.Parameter",1,80,73,73,192,71,71,1,1,3,3,1,1,1,1,1,1,1,0,0,0,1,0,2.09848E-10,1.19937E-12,4.62649E-12,-2.02256E-10,1.94189E-10,2.58732E-13,7.07999E-12,-0.199996382,0.199999258,0.000297519,0.087788964,0,0,0,0,0,0,20164,720,192,4,1705280,3871488,138240,0,138240,2787471360,12.20%,5715008,487.7458369,237,3976200192,70.10%,256,256,256,60672,70.10%,-4.67%,78,1,196,79,1,3727687680,74.78%,720,256,196,56880,74.78%,42533.4375,0,0,0,0,0,0
18,Mixed_5b.branch1x1.conv,ConvNd,"Mixed_5b.branch1x1.conv.MaxPool2d, Mixed_5b.branch1x1.conv.Parameter",1,192,35,35,64,35,35,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,6.06284E-09,4.96279E-11,2.04353E-10,-5.97704E-09,7.17704E-09,-1.51711E-12,2.86194E-10,-0.199898809,0.199604496,-0.000134103,0.087935542,0,0,0,0,0,0,4900,192,64,4,940800,313600,12288,0,12288,60211200,0.26%,1266688,47.53435732,20,335544320,17.94%,256,256,256,5120,17.94%,-0.23%,19,1,36,20,1,251658240,23.93%,192,256,36,5056,18.17%,918.75,0,0,0,0,0,0
21,Mixed_5b.branch5x5_1.conv,ConvNd,"Mixed_5b.branch1x1.conv.MaxPool2d, Mixed_5b.branch5x5_1.conv.Parameter",1,192,35,35,48,35,35,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,6.06284E-09,4.96279E-11,2.04353E-10,-6.4921E-09,4.56496E-09,5.14261E-12,2.43318E-10,-0.199831814,0.199846908,0.000424926,0.087606219,0,0,0,0,0,0,4900,192,48,4,940800,235200,9216,0,9216,45158400,0.20%,1185216,38.10140936,20,335544320,13.46%,256,256,256,5120,13.46%,-0.17%,19,1,36,20,1,251658240,17.94%,192,256,36,5056,13.63%,689.0625,0,0,0,0,0,0
24,Mixed_5b.branch5x5_2.conv,ConvNd,"Mixed_5b.branch5x5_1.Threshold, Mixed_5b.branch5x5_2.conv.Parameter",1,48,35,35,64,35,35,1,1,5,5,1,1,1,1,1,1,1,2,2,0,1,0,1.41486E-07,1.529E-09,5.07642E-09,-1.32584E-07,1.40352E-07,-7.32455E-10,1.28738E-08,-0.199920177,0.199963629,-0.000538556,0.088070882,0,0,0,0,0,0,4900,1200,64,4,235200,313600,76800,0,76800,376320000,1.65%,625600,601.5345269,100,1677721600,22.43%,256,256,256,25600,22.43%,-1.50%,19,1,36,20,1,1572864000,23.93%,1200,256,36,24000,23.93%,5742.1875,0,0,0,0,0,0
27,Mixed_5b.branch3x3dbl_1.conv,ConvNd,"Mixed_5b.branch1x1.conv.MaxPool2d, Mixed_5b.branch3x3dbl_1.conv.Parameter",1,192,35,35,64,35,35,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,6.06284E-09,4.96279E-11,2.04353E-10,-4.13479E-09,4.05397E-09,3.63015E-12,2.45246E-10,-0.199998856,0.199944049,0.000346904,0.088239828,0,0,0,0,0,0,4900,192,64,4,940800,313600,12288,0,12288,60211200,0.26%,1266688,47.53435732,20,335544320,17.94%,256,256,256,5120,17.94%,-0.23%,19,1,36,20,1,251658240,23.93%,192,256,36,5056,18.17%,918.75,0,0,0,0,0,0
30,Mixed_5b.branch3x3dbl_2.conv,ConvNd,"Mixed_5b.branch3x3dbl_1.Threshold, Mixed_5b.branch3x3dbl_2.conv.Parameter",1,64,35,35,96,35,35,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,1.25128E-07,1.52621E-09,5.27353E-09,-1.58251E-07,1.17581E-07,-7.6272E-10,9.28542E-09,-0.199997947,0.199884653,-0.000834679,0.088122272,0,0,0,0,0,0,4900,576,96,4,313600,470400,55296,0,55296,270950400,1.19%,839296,322.8305628,60,1006632960,26.92%,256,256,256,15360,26.92%,-8.97%,19,1,36,20,1,754974720,35.89%,576,256,36,11520,35.89%,4134.375,0,0,0,0,0,0
