num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
1,conv1,ConvNd,"conv1.Variable, conv1.Parameter",1,3,224,224,64,112,112,1,1,7,7,1,2,2,1,1,1,1,3,3,0,1,1,1,1,0,-0.672027826,0.845338166,0.036948992,0.266756006,-0.107474767,0.107719503,0.000254552,0.024969278,0,0,0,0,0,0,50176,147,64,4,602112,3211264,9408,0,9408,472055808,2.89%,3822784,123.4848236,196,3288334336,14.36%,256,256,256,50176,14.36%,0.00%,196,0,0,196,1,1888223232,25.00%,147,256,0,50176,14.36%,7203,0,0,0,0,0,0
5,layer1.0.conv1,ConvNd,"maxpool.MaxPool2d, layer1.0.conv1.Parameter",1,64,56,56,64,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,13.24392033,0.248501067,0.958988742,-24.26277542,19.11493683,0.067076362,1.387026864,-0.634754002,0.659613848,0.003474606,0.177171066,0,0,0,0,0,0,12544,64,64,4,802816,802816,4096,0,4096,51380224,0.31%,1609728,31.91857506,49,822083584,6.25%,256,256,256,12544,6.25%,0.00%,49,0,0,49,1,205520896,25.00%,64,256,0,12544,6.25%,784,0,0,0,0,0,0
8,layer1.0.conv2,ConvNd,"layer1.0.relu.Threshold, layer1.0.conv2.Parameter",1,64,56,56,64,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,11.0765152,0.216450697,0.712322677,-9.917391777,13.29131317,0.033123772,0.894270654,-0.236973852,0.236748502,0.000215617,0.059145282,0,0,0,0,0,0,12544,576,64,4,802816,802816,36864,0,36864,462422016,2.83%,1642496,281.5361596,147,2466250752,18.75%,256,256,256,37632,18.75%,-6.25%,49,0,0,49,1,1849688064,25.00%,576,256,0,28224,25.00%,7056,0,0,0,0,0,0
11,layer1.0.conv3,ConvNd,"layer1.0.relu.Threshold, layer1.0.conv3.Parameter",1,64,56,56,256,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,9.124427795,0.226956336,0.651634955,-6.060473919,5.850594044,-0.005263932,0.479428784,-0.335753679,0.365846604,-8.20E-05,0.088264304,0,0,0,0,0,0,12544,64,256,4,802816,3211264,16384,0,16384,205520896,1.26%,4030464,50.99186992,49,822083584,25.00%,256,256,256,12544,25.00%,0.00%,49,0,0,49,1,205520896,100.00%,64,256,0,12544,25.00%,3136,0,0,0,0,0,0
13,layer1.0.downsample.0,ConvNd,"maxpool.MaxPool2d, layer1.0.downsample.0.Parameter",1,64,56,56,256,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,13.24392033,0.248501067,0.958988742,-11.51351357,11.49979877,-0.009942366,0.703443959,-0.3711285,0.331622481,-0.000464611,0.088385652,0,0,0,0,0,0,12544,64,256,4,802816,3211264,16384,0,16384,205520896,1.26%,4030464,50.99186992,49,822083584,25.00%,256,256,256,12544,25.00%,0.00%,49,0,0,49,1,205520896,100.00%,64,256,0,12544,25.00%,3136,0,0,0,0,0,0
17,layer1.1.conv1,ConvNd,"layer1.0.relu.Threshold, layer1.1.conv1.Parameter",1,256,56,56,64,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,16.60462952,0.337104848,0.92898955,-42.33875656,31.72475052,-0.0033488,2.964897757,-0.769141972,0.645984828,0.000253377,0.176397126,0,0,0,0,0,0,12544,256,64,4,3211264,802816,16384,0,16384,205520896,1.26%,4030464,50.99186992,49,822083584,25.00%,256,256,256,12544,25.00%,0.00%,49,0,0,49,1,822083584,25.00%,256,256,0,12544,25.00%,3136,0,0,0,0,0,0
20,layer1.1.conv2,ConvNd,"layer1.1.relu.Threshold, layer1.1.conv2.Parameter",1,64,56,56,64,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,12.46547604,0.257996048,0.644149447,-8.591586113,8.193552017,0.075908645,0.917188499,-0.225524023,0.253668696,0.000637163,0.058658319,0,0,0,0,0,0,12544,576,64,4,802816,802816,36864,0,36864,462422016,2.83%,1642496,281.5361596,147,2466250752,18.75%,256,256,256,37632,18.75%,-6.25%,49,0,0,49,1,1849688064,25.00%,576,256,0,28224,25.00%,7056,0,0,0,0,0,0
23,layer1.1.conv3,ConvNd,"layer1.1.relu.Threshold, layer1.1.conv3.Parameter",1,64,56,56,256,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,11.49900818,0.257856919,0.668428562,-7.488518238,6.186210155,-0.014640639,0.520961346,-0.359842092,0.333123237,-0.000799638,0.087526941,0,0,0,0,0,0,12544,64,256,4,802816,3211264,16384,0,16384,205520896,1.26%,4030464,50.99186992,49,822083584,25.00%,256,256,256,12544,25.00%,0.00%,49,0,0,49,1,205520896,100.00%,64,256,0,12544,25.00%,3136,0,0,0,0,0,0
27,layer1.2.conv1,ConvNd,"layer1.1.relu.Threshold, layer1.2.conv1.Parameter",1,256,56,56,64,56,56,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,19.69896698,0.528416667,1.19030814,-47.09207153,46.3347168,-0.062043692,3.683261337,-0.86007601,0.766126096,-0.000411161,0.178606826,0,0,0,0,0,0,12544,256,64,4,3211264,802816,16384,0,16384,205520896,1.26%,4030464,50.99186992,49,822083584,25.00%,256,256,256,12544,25.00%,0.00%,49,0,0,49,1,822083584,25.00%,256,256,0,12544,25.00%,3136,0,0,0,0,0,0
30,layer1.2.conv2,ConvNd,"layer1.2.relu.Threshold, layer1.2.conv2.Parameter",1,64,56,56,64,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,9.764819145,0.267032631,0.622791971,-9.573495865,8.563871384,-0.035663177,0.850745865,-0.27676025,0.22243695,-0.000207633,0.058996232,0,0,0,0,0,0,12544,576,64,4,802816,802816,36864,0,36864,462422016,2.83%,1642496,281.5361596,147,2466250752,18.75%,256,256,256,37632,18.75%,-6.25%,49,0,0,49,1,1849688064,25.00%,576,256,0,28224,25.00%,7056,0,0,0,0,0,0
