num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
1,features.0,ConvNd,"features.0.Variable, features.0.Parameter, features.0.Parameter",1,3,224,224,64,224,224,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,-0.595263779,0.816806555,0.050448102,0.308928209,-0.214284822,0.181779638,0.001882709,0.057633224,0,0,0,0,1,0,200704,27,64,4,602112,12845056,1728,64,1792,346816512,0.44%,13448960,25.78760826,784,13153337344,2.64%,256,256,256,200704,2.64%,0.00%,784,0,0,784,1,1387266048,25.00%,27,256,0,200704,2.64%,5292,0,0,0,0,0,0
3,features.2,ConvNd,"features.1.Threshold, features.2.Parameter, features.2.Parameter",1,64,224,224,64,224,224,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.816806555,0.148178212,0.217400354,-0.834781528,0.939805865,0.042754432,0.327274627,-0.260703176,0.255984694,0.000146201,0.058999253,0,0,0,0,1,0,200704,576,64,4,12845056,12845056,36864,64,36928,7398752256,9.48%,25727040,287.5866114,2352,39460012032,18.75%,256,256,256,602112,18.75%,-6.25%,784,0,0,784,1,29595009024,25.00%,576,256,0,451584,25.00%,112896,0,0,0,0,0,0
6,features.5,ConvNd,"features.4.MaxPool2d, features.5.Parameter, features.5.Parameter",1,64,112,112,128,112,112,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.939805865,0.159620586,0.205532401,-0.661394775,0.686833858,0.032774298,0.248638263,-0.194002718,0.19461301,0.000232516,0.041631911,0,0,0,0,1,0,50176,576,128,4,3211264,6422528,73728,128,73856,3699376128,4.74%,9707648,381.0785195,588,9865003008,37.50%,256,256,256,150528,37.50%,-12.50%,196,0,0,196,1,7398752256,50.00%,576,256,0,112896,50.00%,56448,0,0,0,0,0,0
8,features.7,ConvNd,"features.6.Threshold, features.7.Parameter, features.7.Parameter",1,128,112,112,128,112,112,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.686833858,0.116699846,0.158125454,-0.701371968,0.915071368,0.00450391,0.26949896,-0.177956387,0.190810978,8.10639E-05,0.041630701,0,0,0,0,1,0,50176,1152,128,4,6422528,6422528,147456,128,147584,7398752256,9.48%,12992640,569.4571893,980,16441671680,45.00%,256,256,256,250880,45.00%,-5.00%,196,0,0,196,1,14797504512,50.00%,1152,256,0,225792,50.00%,112896,0,0,0,0,0,0
11,features.10,ConvNd,"features.9.MaxPool2d, features.10.Parameter, features.10.Parameter",1,128,56,56,256,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.915071368,0.109803892,0.165392162,-0.62737757,0.607448518,0.011364489,0.197472859,-0.141383037,0.147525012,4.46124E-05,0.029491992,0,0,0,0,1,0,12544,1152,256,4,1605632,3211264,294912,256,295168,3699376128,4.74%,5112064,723.6560669,245,4110417920,90.00%,256,256,256,62720,90.00%,-10.00%,49,0,0,49,1,3699376128,100.00%,1152,256,0,56448,100.00%,56448,0,0,0,0,0,0
13,features.12,ConvNd,"features.11.Threshold, features.12.Parameter, features.12.Parameter",1,256,56,56,256,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.607448518,0.085314987,0.115684578,-0.750191987,0.639202774,-0.010870712,0.212300509,-0.136669308,0.13387166,-2.44572E-05,0.029431263,0,0,0,0,1,0,12544,2304,256,4,3211264,3211264,589824,256,590080,7398752256,9.48%,7012608,1055.064286,441,7398752256,100.00%,256,256,256,112896,100.00%,0.00%,49,0,0,49,1,7398752256,100.00%,2304,256,0,112896,100.00%,112896,0,0,0,0,0,0
15,features.14,ConvNd,"features.13.Threshold, features.14.Parameter, features.14.Parameter",1,256,56,56,256,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.639202774,0.077928858,0.117226889,-0.729347646,0.500269175,0.006559087,0.189085565,-0.140223369,0.131995618,3.70027E-05,0.029444412,0,0,0,0,1,0,12544,2304,256,4,3211264,3211264,589824,256,590080,7398752256,9.48%,7012608,1055.064286,441,7398752256,100.00%,256,256,256,112896,100.00%,0.00%,49,0,0,49,1,7398752256,100.00%,2304,256,0,112896,100.00%,112896,0,0,0,0,0,0
17,features.16,ConvNd,"features.15.Threshold, features.16.Parameter, features.16.Parameter",1,256,56,56,256,56,56,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.500269175,0.078172543,0.10427844,-0.582330585,0.653826058,0.005278179,0.180602194,-0.144510657,0.138003334,-7.72083E-06,0.029469109,0,0,0,0,1,0,12544,2304,256,4,3211264,3211264,589824,256,590080,7398752256,9.48%,7012608,1055.064286,441,7398752256,100.00%,256,256,256,112896,100.00%,0.00%,49,0,0,49,1,7398752256,100.00%,2304,256,0,112896,100.00%,112896,0,0,0,0,0,0
20,features.19,ConvNd,"features.18.MaxPool2d, features.19.Parameter, features.19.Parameter",1,256,28,28,512,28,28,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.653826058,0.080155354,0.112589202,-0.570863962,0.494756937,0.008183391,0.13295962,-0.094676904,0.094469011,3.97893E-05,0.02085002,0,0,0,0,1,0,3136,2304,512,4,802816,1605632,1179648,512,1180160,3699376128,4.74%,3588608,1030.8666,234,3925868544,94.23%,256,256,256,59904,94.23%,0.00%,12,1,64,13,2,3925868544,94.23%,2304,256,64,59904,94.23%,56448,0,0,0,0,0,0
22,features.21,ConvNd,"features.20.Threshold, features.21.Parameter, features.21.Parameter",1,512,28,28,512,28,28,1,1,3,3,1,1,1,1,1,1,1,1,1,0,1,0,0.494756937,0.056577427,0.080952175,-0.551469326,0.555683255,-0.002462979,0.141846691,-0.104794942,0.101920351,-1.2065E-05,0.020821788,0,0,0,0,1,0,3136,4608,512,4,1605632,1605632,2359296,512,2359808,7398752256,9.48%,5571072,1328.06617,468,7851737088,94.23%,256,256,256,119808,94.23%,0.00%,12,1,64,13,2,7851737088,94.23%,4608,256,64,119808,94.23%,112896,0,0,0,0,0,0
