num,module,op,requires,B_mutiplier,C,H_I,W_I,K,H_O,W_O,T_I,T_O,kH,kW,kT,dH,dW,dT,dilationH,dilationW,dilationT,padH,padW,padT,groups,InputMinVal,InputMaxVal,InputMeanVal,InputStdVal,OutputMinVal,OutputMaxVal,OutputMeanVal,OutputStdVal,KernelMinVal,KernelMaxVal,KernelMeanVal,KernelStdVal,BiasMinVal,BiasMaxVal,BiasMeanVal,BiasStdVal,AddBias,isFilter,DimBHW,DimCFilterSquare,DimK,B,InputSize,OutputSize,Weights,Biases,Params,MACs,RATIO_MACs_TOTALMACs,MEM,RATIO_COMPUTE_MEM,SI_NumAccumSess,SI_ActualCompute,SI_CompUtil,SI_ClocksToComputeAccumSess,SI_ClocksToBringNewChunkOfB,SI_MMEClocksPerAccSession,SI_TotalMMEClocks,SI_LayerUtil,SI_IP_OP_diff,NumFullUOWH,NumPartialUOWH,HeightOfPartialUOW,NumUOWH,NumUOWW,ActualMACs,ComputeUtilization,ClocksToComputeUOW,ClocksToDumpFullUOW,ClocksToDumpPartialUOW,TotalMMEClocks,LayerUtil,IdealClocksNoSparsity,FilterClocks,PoolingOps,BatchNormOps,StochasticOps,NonLinearOps,AddOps
1,entry.m0.0,ConvNd,"entry.m0.0.Variable, entry.m0.0.Parameter",1,3,299,299,32,149,149,1,1,3,3,1,2,2,1,1,1,1,0,0,0,1,1,1,1,0,-0.8367939,1.345725417,-0.003533533,0.561330558,-0.192358002,0.192389801,-0.000130871,0.111179177,0,0,0,0,0,0,88804,27,32,4,1072812,2841728,864,0,864,76726656,0.27%,3915404,19.59610196,347,5821693952,1.32%,256,256,256,88832,1.32%,0.00%,346,1,228,347,1,614006784,12.50%,27,256,228,88804,1.32%,1170.755859,0,0,0,0,0,0
4,entry.m0.3,ConvNd,"entry.m0.2.Threshold, entry.m0.3.Parameter",1,32,149,149,64,147,147,1,1,3,3,1,1,1,1,1,1,1,0,0,0,1,0,1.21013E-05,7.24388E-07,2.41447E-06,-4.16095E-06,2.97923E-06,-2.24642E-07,1.54909E-06,-0.058919091,0.058917735,-2.16778E-05,0.034046578,0,0,0,0,0,0,86436,288,64,4,2841728,5531904,18432,0,18432,1593188352,5.63%,8392064,189.844638,676,11341398016,14.05%,256,256,256,173056,14.05%,-10.93%,337,1,164,338,1,6379536384,24.97%,288,256,164,97344,24.97%,24310.125,0,0,0,0,0,0
8,entry.m1.0.conv2,ConvNd,"entry.m1.0.conv1.Filter, entry.m1.0.conv2.Parameter",1,64,147,147,128,147,147,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.041580729,0.040386919,-0.002619659,0.024479453,-0.034902751,0.046533547,-0.001554108,0.014789081,-0.124991983,0.124962747,0.000732251,0.071922737,0,0,0,0,0,0,86436,64,128,4,5531904,11063808,8192,0,8192,708083712,2.50%,16603904,42.64561587,338,5670699008,12.49%,256,256,256,86528,12.49%,-0.01%,337,1,164,338,1,1417674752,49.95%,64,256,164,86436,12.50%,10804.5,0,0,0,0,0,0
12,entry.m1.3.conv2,ConvNd,"entry.m1.3.conv1.Filter, entry.m1.3.conv2.Parameter",1,128,147,147,128,147,147,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.029419122,0.028380807,-0.002149172,0.017168324,-0.021275179,0.020980842,-0.000653802,0.010036432,-0.088384278,0.088386178,8.95638E-05,0.051008942,0,0,0,0,0,0,86436,128,128,4,11063808,11063808,16384,0,16384,1416167424,5.00%,22144000,63.9526474,338,5670699008,24.97%,256,256,256,86528,24.97%,-0.03%,337,1,164,338,1,2835349504,49.95%,128,256,164,86436,25.00%,21609,0,0,0,0,0,0
15,entry.res1.0,ConvNd,"entry.m0.5.Threshold, entry.res1.0.Parameter",1,64,147,147,128,74,74,1,1,1,1,1,2,2,1,1,1,1,0,0,0,1,0,5.26648E-11,9.06882E-13,4.9734E-12,-1.99948E-11,1.60414E-11,1.56945E-13,3.00739E-12,-0.124959789,0.124988928,0.001165944,0.071777037,0,0,0,0,0,0,21904,64,128,4,5531904,2803712,8192,0,8192,179437568,0.63%,8343808,21.50547664,86,1442840576,12.44%,256,256,256,22016,12.44%,-0.06%,85,1,144,86,1,360710144,49.75%,64,256,144,21904,12.50%,2738,0,0,0,0,0,0
20,entry.m2.1.conv2,ConvNd,"entry.m2.1.conv1.Filter, entry.m2.1.conv2.Parameter",1,128,74,74,256,74,74,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.029086603,0.029212961,-0.002152999,0.015631471,-0.022957284,0.02461594,-0.000190226,0.00934234,-0.0883881,0.088388234,-0.00031147,0.051019861,0,0,0,0,0,0,21904,128,256,4,2803712,5607424,32768,0,32768,717750272,2.54%,8443904,85.00218288,86,1442840576,49.75%,256,256,256,22016,49.75%,-0.25%,85,1,144,86,1,721420288,99.49%,128,256,144,21904,50.00%,10952,0,0,0,0,0,0
24,entry.m2.4.conv2,ConvNd,"entry.m2.4.conv1.Filter, entry.m2.4.conv2.Parameter",1,256,74,74,256,74,74,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.020783907,0.020705672,-0.000243659,0.011934061,-0.017953344,0.021264661,2.24467E-06,0.007405179,-0.062499139,0.062499288,1.67247E-05,0.036089808,0,0,0,0,0,0,21904,256,256,4,5607424,5607424,65536,0,65536,1435500544,5.07%,11280384,127.2563544,86,1442840576,99.49%,256,256,256,22016,99.49%,0.00%,85,1,144,86,1,1442840576,99.49%,256,256,144,22016,99.49%,21904,0,0,0,0,0,0
27,entry.res2.0,ConvNd,"entry.m2.0.Threshold, entry.res2.0.Parameter",1,128,74,74,256,37,37,1,1,1,1,1,2,2,1,1,1,1,0,0,0,1,0,5.09269E-06,1.09891E-08,6.43614E-08,-1.88992E-06,1.80995E-06,-2.05763E-11,3.88637E-08,-0.0883874,0.088381179,0.000123818,0.051075617,0,0,0,0,0,0,5476,128,256,4,2803712,1401856,32768,0,32768,179437568,0.63%,4238336,42.33679633,22,369098752,48.62%,256,256,256,5632,48.62%,-1.13%,21,1,100,22,1,184549376,97.23%,128,256,100,5504,49.75%,2738,0,0,0,0,0,0
32,entry.m3.1.conv2,ConvNd,"entry.m3.1.conv1.Filter, entry.m3.1.conv2.Parameter",1,256,37,37,728,37,37,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.020587133,0.020804511,0.000595888,0.012458365,-0.022247892,0.022499893,0.000395453,0.007008844,-0.0625,0.062499262,-1.92289E-05,0.036079848,0,0,0,0,0,0,5476,256,728,4,1401856,3986528,186368,0,186368,1020551168,3.61%,5574752,183.0666491,66,1107296256,92.17%,256,256,256,16896,92.17%,0.00%,21,1,100,22,3,1107296256,92.17%,256,256,100,16896,92.17%,15572.375,0,0,0,0,0,0
36,entry.m3.4.conv2,ConvNd,"entry.m3.4.conv1.Filter, entry.m3.4.conv2.Parameter",1,728,37,37,728,37,37,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,-0.01235198,0.01229646,0.000181502,0.007132909,-0.013365112,0.012514751,-9.65135E-06,0.003960666,-0.037062116,0.037062246,-4.15274E-06,0.021409984,0,0,0,0,0,0,5476,728,728,4,3986528,3986528,529984,0,529984,2902192384,10.25%,8503040,341.3123288,198,3321888768,87.37%,256,256,256,50688,87.37%,-4.80%,21,1,100,22,3,3148873728,92.17%,728,256,100,48048,92.17%,44283.94141,0,0,0,0,0,0
